video_id,video_url,title,upload_datetime,view_count,like_count,comment_count,tags,guest_type,topic_category,format_type,View_Count_Log,Estimated_Income_INR,duration,Title_Length,Description_Length,upload_hour,upload_dow,Days_Since_Published,guest_type_Diplomat,guest_type_Military_Veteran,guest_type_Other,guest_type_Politician,topic_category_Defense_Analysis,topic_category_Foreign_Policy,topic_category_General,topic_category_Geopolitics,topic_category_Internal_Affairs,format_type_Interview,format_type_Monologue_Explainer,format_type_Panel_Discussion
5GwkKEak60s,https://www.youtube.com/watch?v=5GwkKEak60s,Pakistan is Officially Bankrupt Says Pak Defence Minister | With Major Gaurav Arya,19-02-2023,722101,50084,3000,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army""]",Military_Veteran,Geopolitics,Interview,13.48992168,86652.12,1747,82,803,0,6,910,0,1,0,0,0,0,0,1,0,1,0,0
EITEv1DLKms,https://www.youtube.com/watch?v=EITEv1DLKms,BEST OF THE WEEK | SUNDAY SPECIAL: THE CHANAKYA DIALOGUES with Major Gaurav Arya,19-02-2023,273885,13608,603,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""major gaurav arya"", ""india pakistan news""]",Military_Veteran,Foreign_Policy,Interview,12.52046724,32866.2,1956,80,932,0,6,910,0,1,0,0,0,1,0,0,0,1,0,0
UJZlNHulJz4,https://www.youtube.com/watch?v=UJZlNHulJz4,It’s Time To Confront George Soros | The Chanakya Dialogues with Major Gaurav Arya,18-02-2023,697789,55092,3900,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""india pakistan news"", ""major gaurav arya""]",Military_Veteran,General,Interview,13.45567348,83734.68,1581,82,893,0,5,911,0,1,0,0,0,0,1,0,0,1,0,0
xpmOK1kUt8k,https://www.youtube.com/watch?v=xpmOK1kUt8k,Pakistan Will Buy 155 Luxury Imported Cars from World Bank Money | TCD with Major Gaurav Arya,17-02-2023,628156,43695,8600,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army""]",Military_Veteran,Geopolitics,Interview,13.35054541,75378.72,2011,93,4826,0,4,912,0,1,0,0,0,0,0,1,0,1,0,0
GDTN5-CuPEE,https://www.youtube.com/watch?v=GDTN5-CuPEE,China Says It’s Citizens In Danger in Pakistan | The Chanakya Dialogues with Major Gaurav Arya,16-02-2023,1989137,74360,5200,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""major gaurav arya"", ""india pakistan news""]",Military_Veteran,Geopolitics,Interview,14.50321194,238696.44,1936,94,2286,0,3,913,0,1,0,0,0,0,0,1,0,1,0,0
Ew06dwGyc_w,https://www.youtube.com/watch?v=Ew06dwGyc_w,Pakistan Economy on Verge of Collapse | The Chanakya Dialogues with Major Gaurav Arya,15-02-2023,851803,48716,3600,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army""]",Military_Veteran,Geopolitics,Interview,13.65511173,102216.36,1652,85,782,0,2,914,0,1,0,0,0,0,0,1,0,1,0,0
4wANJQVsjac,https://www.youtube.com/watch?v=4wANJQVsjac,India Will Become Leading Weapons Exporter | The Chanakya Dialogues with Major Gaurav Arya,14-02-2023,707721,47393,3300,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""the chanakya dialogues"", ""india foreign affairs"", ""major gaurav arya""]",Military_Veteran,Defense_Analysis,Interview,13.46980664,84926.52,1652,90,2292,0,1,915,0,1,0,0,1,0,0,0,0,1,0,0
susGKyWGwvQ,https://www.youtube.com/watch?v=susGKyWGwvQ,We Don’t Trust You At All : IMF To Pak | The Chanakya Dialogues with Major Gaurav Arya,13-02-2023,613992,52663,3200,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army"", ""major gaurav arya"", ""the chanakya dialogues"", ""india pakistan news""]",Military_Veteran,General,Interview,13.32773881,73679.04,1652,86,4972,0,0,916,0,1,0,0,0,0,1,0,0,1,0,0
w_D3deSu6So,https://www.youtube.com/watch?v=w_D3deSu6So,India has found 5.9 million tonnes of lithium deposit | The Chanakya Dialogues | Major Gaurav Arya,12-02-2023,1125133,65607,4800,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army""]",Military_Veteran,Foreign_Policy,Interview,13.9334127,135015.96,2346,98,3398,0,6,917,0,1,0,0,0,1,0,0,0,1,0,0
kbdpPLk8RHw,https://www.youtube.com/watch?v=kbdpPLk8RHw,BEST OF THE WEEK | SUNDAY SPECIAL: THE CHANAKYA DIALOGUES with Major Gaurav Arya,12-02-2023,213841,13358,663,"[""Chanakya Dialogues"", ""Gaurav Arya"", ""Chanakya Forum"", ""Major Gaurav Arya"", ""India Foreign Affairs"", ""India News"", ""India Pakistan News"", ""Indo-Pak"", ""Major Gaurav Arya Channel"", ""CFTV Channel"", ""foreign affairs"", ""news"", ""latest news"", ""geopolitics"", ""The Chanakya Dialogues"", ""India"", ""Bharat"", ""News"", ""Indian Army""]",Military_Veteran,Foreign_Policy,Interview,12.2729927,25660.92,1041,80,3410,0,6,917,0,1,0,0,0,1,0,0,0,1,0,0
